Ticker,Name,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDC US Equity,ALCENTRA CAPITAL CORP,-25396332,28492456,-31474450,78335664,40,402030,4020,36.574,35.973,49.1779,42.5473,156794480,161016048,119330512,84791256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDR US Equity,ALDER BIOPHARMACEUTICALS INC,-82456000,-166306000,-228667008,-253986000,35,352010,3520,3.1273,6.4453,7.8714,49.8565,1443635200,1047658688,776801664,701208384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDX US Equity,ALDEYRA THERAPEUTICS INC,-9397872,-15159322,-19247620,-30120096,35,352010,3520,11.7939,14.046,10.3541,8.9106,65850892,67283336,130135944,217828816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,33511999488,45990998016,62779998208,95334998016,25,255020,2550,38.1167,31.4339,36.0471,38.722,1.28821E+12,1.2616E+12,1.87581E+12,2.97558E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTX US Equity,ALLEGIANCE BANCSHARES INC,16381000,25924000,31299000,42640000,40,401010,4010,87.5999,88.5833,89.2713,84.8991,303027104,463189408,497989984,710124672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACV US Equity,ALLIANZGI DIVERSIFIED INCOME, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPC US Equity,ALPHA INVESTMENT INC,-16929,-17534,-291558, , , , ,9282.8975,15275.1309,1.4889, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPN US Equity,ALPINE IMMUNE SCIENCES INC,-19395000,-4579000,-17158000,-28911000,35,352010,3520,5.0268,19.9841,7.3983,18.7378,119676112,1363490.25,154909200,50983476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATAO US Equity,ALTAIR INTERNATIONAL CORP, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBR US Equity,AMBER ROAD INC,-42257624,-2684580,-2386252,113591,45,451030,4510,61.1805,70.5206,74.3384,70.2531,133665736,244490512,200301152,229135536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCT US Equity,AMERICAN EDUCATION CENTER IN, ,1804498,-1312291, , , , , ,49.5485,42.5546, , ,21092500,26877500, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREB US Equity,AMERICAN REBEL HOLDINGS INC,-24125,-1348735,-1561490, , , , ,199.819,227.8314,339.3483, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARA US Equity,AMERICAN RENAL ASSOCIATES HO,87322000,110779000,92474000, ,35,351020,3510,83.0625,72.006,72.9955, , ,657444800,557399232, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREC US Equity,AMERICAN RESOURCES CORP, , , , ,15,151040,1510, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPH US Equity,AMPHASTAR PHARMACEUTICALS IN,-3737000,17178000,4110000,-8617000,35,352020,3520,24.2546,23.0241,25.8071,29.0527,643174528,851899648,897037696,927959232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANPFF US Equity,ANPULO FOOD INC,-1088210, , , ,30,302020,3020,74.4264, , , ,414283872, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBDC US Equity,APOTHECA BIOSCIENCES INC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPF US Equity,APPFOLIO INC - A,-10538000,7258000,27158000,34166000,45,451030,4510,19.655,24.7356,22.8294,47.7379,489771584,804198144,1410211456,2007439616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPB US Equity,APPLIED BIOSCIENCES CORP,-14600,-30251,-150835,-678166,35,352020,3520, ,1872.9803,1.8844,5.0877, , ,32019960,20999220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGTC US Equity,APPLIED GENETIC TECHNOLOGIES,-19808000,68399000,-31892000,-33323000,35,352010,3520,5.1478,39.5521,22.0344,16.3247,252741840,255017616,92247704,67066200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APYP US Equity,APPYEA INC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTY US Equity,APT SYSTEMS INC,-31433,-65484, , ,45,451030,4510,3362.2158,2778.6953, , , ,46376668, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQMS US Equity,AQUA METALS INC,-9405197,-37833000,-28436000,-30011000,20,202010,2020,28.7897,20.326,20.7907,29.8174,75352568,234390080,38081684,70857032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAAS US Equity,AQUAVENTURE HOLDINGS LTD,-11744000,-4529000,4521000,7256000,55,551040,5510,37.7056,31.5244,37.8646,53.6023, ,647297664,411000640,505874208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQXP US Equity,AQUINOX PHARMACEUTICALS INC,-20295000,-30939000,-45212000,-31626000,35,352010,3520,4.3435,6.2936,10.3708,6.3722,214805584,386716192,276035776,50840716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAV US Equity,ARAVIVE INC,-69064000,-40721000,-117034000, ,35,352010,3520,4.7629,26.5131,11.7523, ,364516864,519173888,79063880,39360640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKDA US Equity,ARCADIA BIOSCIENCES INC,-15260000,-17286000,-14044000,-13881000,30,302020,3020,45.8191,60.7629,51.6777,46.6575,134319952,40928664,11737847,15136493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
